日期,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额,成交金额1
2018/3/27,3166.6488,3172.7777,3143.5695,3164.7976,3133.7218,32.927,1.0507,189073383,2.27E+11,
2018/3/26,3133.7218,3134.2759,3091.4575,3117.3192,3152.7608,-19.039,-0.6039,186366350,2.16E+11,
2018/3/23,3152.7608,3188.2351,3110.6637,3172.772,3263.4803,-110.7195,-3.3927,275532013,2.93E+11,
2018/3/22,3263.4803,3288.7967,3242.7619,3281.265,3280.9521,-17.4718,-0.5325,150432977,1.84E+11,
2018/3/21,3280.9521,3314.209,3268.8779,3299.731,3290.6399,-9.6878,-0.2944,168398277,2.09E+11,
2018/3/20,3290.6399,3292.5742,3252.4333,3257.2188,3279.2517,11.3882,0.3473,139881081,1.67E+11,
2018/3/19,3279.2517,3280.5673,3251.0471,3264.9281,3269.8821,9.3696,0.2865,137954980,1.70E+11,
2018/3/16,3269.8821,3300.5654,3269.2826,3290.209,3291.112,-21.2299,-0.6451,141203647,1.68E+11,
2018/3/15,3291.112,3297.0981,3273.2008,3277.5143,3291.3819,-0.2699,-0.0082,148573606,1.80E+11,
2018/3/14,3291.3819,3304.9787,3287.3558,3298.6655,3310.2389,-18.857,-0.5697,157491085,1.83E+11,
2018/3/13,3310.2389,3333.8754,3307.3764,3324.1215,3326.6992,-16.4603,-0.4948,177114353,2.02E+11,
2018/3/12,3326.6992,3333.5611,3313.5552,3319.2089,3307.1656,19.5336,0.5906,206532436,2.48E+11,
2018/3/9,3307.1656,3309.7153,3283.5591,3291.4258,3288.4055,18.7601,0.5705,168424509,2.02E+11,
2018/3/8,3288.4055,3289.4974,3261.5524,3268.3468,3271.6683,16.7372,0.5116,149827519,1.76E+11,
2018/3/7,3271.6683,3308.4063,3264.7639,3288.8645,3289.6419,-17.9736,-0.5464,168665019,1.93E+11,
2018/3/6,3289.6419,3290.2534,3243.654,3266.4868,3256.9263,32.7156,1.0045,195358046,2.24E+11,
2018/3/5,3256.9263,3269.3999,3236.7172,3255.8713,3254.5283,2.398,0.0737,144835988,1.74E+11,
2018/3/2,3254.5283,3269.9377,3242.2669,3248.4464,3273.7549,-19.2266,-0.5873,150861063,1.79E+11,
2018/3/1,3273.7549,3280.1491,3228.5848,3235.0887,3259.408,14.3469,0.4402,159098320,1.85E+11,
2018/2/28,3259.408,3277.8324,3239.8438,3264.0585,3292.0679,-32.6599,-0.9921,151043536,1.80E+11,
2018/2/27,3292.0679,3328.6719,3284.6293,3328.6719,3329.5737,-37.5058,-1.1264,174219368,2.04E+11,
2018/2/26,3329.5737,3335.9856,3281.615,3307.295,3289.0241,40.5496,1.2329,188568602,2.13E+11,
2018/2/23,3289.0241,3294.1338,3258.4878,3275.429,3268.5589,20.4652,0.6261,145790368,1.60E+11,
2018/2/22,3268.5589,3269.9156,3234.1152,3237.5692,3199.1589,69.4,2.1693,138730445,1.57E+11,
2018/2/14,3199.1589,3203.4967,3171.3836,3188.2475,3184.9587,14.2002,0.4459,100322827,1.15E+11,
2018/2/13,3184.9587,3219.2169,3176.1066,3176.1066,3154.1254,30.8333,0.9776,151527597,1.72E+11,
2018/2/12,3154.1254,3168.1258,3113.6054,3128.3709,3129.8508,24.2746,0.7756,153310831,1.71E+11,
2018/2/9,3129.8508,3180.11,3062.7426,3172.8509,3262.0504,-132.1996,-4.0527,256389176,2.72E+11,
2018/2/8,3262.0504,3307.1623,3225.7117,3281.0458,3309.2598,-47.2094,-1.4266,201262499,2.22E+11,
2018/2/7,3309.2598,3425.5377,3304.007,3412.7441,3370.652,-61.3922,-1.8214,260939714,2.95E+11,
2018/2/6,3370.652,3440.124,3364.2163,3418.01,3487.497,-116.845,-3.3504,280555477,3.19E+11,
2018/2/5,3487.497,3487.7211,3406.2405,3411.6698,3462.0808,25.4162,0.7341,217673754,2.52E+11,
2018/2/2,3462.0808,3463.1639,3388.8597,3419.2249,3446.9799,15.1009,0.4381,208120551,2.36E+11,
2018/2/1,3446.9799,3495.0933,3424.4188,3478.6701,3480.8334,-33.8535,-0.9726,260504707,2.93E+11,
2018/1/31,3480.8334,3495.4533,3454.7259,3470.5089,3488.009,-7.1756,-0.2057,207253403,2.43E+11,
2018/1/30,3488.009,3523.0513,3484.6556,3511.5005,3523.0007,-34.9917,-0.9932,186369975,2.25E+11,
2018/1/29,3523.0007,3587.0323,3510.2689,3563.64,3558.1288,-35.1281,-0.9873,236026965,2.85E+11,
2018/1/26,3558.1288,3574.9048,3534.1952,3535.4931,3548.307,9.8218,0.2768,222698295,2.58E+11,
2018/1/25,3548.307,3571.4805,3528.0349,3555.1677,3559.4653,-11.1583,-0.3135,243413422,2.88E+11,
2018/1/24,3559.4653,3569.4891,3527.1119,3553.4787,3546.5048,12.9605,0.3654,252954496,3.08E+11,
2018/1/23,3546.5048,3547.2222,3504.3439,3504.3439,3501.3622,45.1426,1.2893,238705904,2.82E+11,
2018/1/22,3501.3622,3503.3857,3475.673,3476.9939,3487.864,13.4982,0.387,217487534,2.61E+11,
2018/1/19,3487.864,3498.4341,3474.2915,3481.62,3474.754,13.11,0.3773,247536733,2.94E+11,
2018/1/18,3474.754,3476.546,3448.7885,3449.881,3444.6713,30.0827,0.8733,220039555,2.68E+11,
2018/1/17,3444.6713,3465.2049,3430.5114,3438.5762,3436.594,8.0773,0.235,261045030,3.17E+11,
2018/1/16,3436.594,3437.5827,3401.9606,3403.4694,3410.4882,26.1058,0.7655,211475468,2.67E+11,
2018/1/15,3410.4882,3442.5008,3402.312,3428.9508,3428.9407,-18.4525,-0.5381,232009283,2.86E+11,
2018/1/12,3428.9407,3435.4239,3417.9802,3423.8793,3425.3449,3.5958,0.105,174063404,2.16E+11,
2018/1/11,3425.3449,3426.4829,3405.639,3415.585,3421.8343,3.5106,0.1026,173812133,2.18E+11,
2018/1/10,3421.8343,3430.2139,3398.8423,3414.1128,3413.8996,7.9347,0.2324,209094997,2.55E+11,
2018/1/9,3413.8996,3417.2278,3403.5869,3406.1116,3409.4795,4.4201,0.1296,191488551,2.38E+11,
2018/1/8,3409.4795,3412.7307,3384.5591,3391.5528,3391.7501,17.7294,0.5227,236165106,2.86E+11,
2018/1/5,3391.7501,3402.0694,3380.245,3386.464,3385.7102,6.0399,0.1784,213060681,2.48E+11,
2018/1/4,3385.7102,3392.8264,3365.2954,3371,3369.1084,16.6018,0.4928,206955288,2.43E+11,
2018/1/3,3369.1084,3379.9152,3345.2887,3347.7428,3348.3259,20.7825,0.6207,213836149,2.58E+11,
2018/1/2,3348.3259,3349.053,3314.0307,3314.0307,3307.1721,41.1538,1.2444,202278860,2.28E+11,
2017/12/29,3307.1721,3308.2249,3292.7699,3295.2461,3296.3847,10.7874,0.3272,141586836,1.70E+11,
2017/12/28,3296.3847,3304.0962,3263.7282,3272.2913,3275.7828,20.6019,0.6289,175371670,2.08E+11,
2017/12/27,3275.7828,3307.0798,3270.349,3302.4612,3306.1246,-30.3418,-0.9177,162674890,1.98E+11,
2017/12/26,3306.1246,3307.2994,3274.3274,3277.8372,3280.461,25.6636,0.7823,142434501,1.75E+11,
2017/12/25,3280.461,3312.2998,3270.4407,3296.2106,3297.063,-16.602,-0.5035,146893635,1.77E+11,
2017/12/22,3297.063,3307.3276,3293.4415,3297.6852,3300.0593,-2.9963,-0.0908,124047326,1.52E+11,
2017/12/21,3300.0593,3309.2233,3267.4042,3281.1179,3287.6057,12.4536,0.3788,142127927,1.74E+11,
2017/12/20,3287.6057,3300.2124,3276.1201,3296.7403,3296.5384,-8.9327,-0.271,137745118,1.68E+11,
2017/12/19,3296.5384,3296.9398,3266.0191,3266.0191,3267.9224,28.616,0.8757,115140134,1.51E+11,
2017/12/18,3267.9224,3280.5438,3254.1775,3268.0335,3266.1371,1.7853,0.0547,120700389,1.50E+11,
2017/12/15,3266.1371,3287.5292,3259.3883,3287.5292,3292.4385,-26.3014,-0.7988,130940618,1.62E+11,
2017/12/14,3292.4385,3309.5295,3282.5732,3302.9322,3303.0373,-10.5988,-0.3209,120544235,1.51E+11,
2017/12/13,3303.0373,3304.0101,3273.3248,3278.3968,3280.8136,22.2237,0.6774,111998647,1.45E+11,
